accuracy,precision,recall,f1,dataset,method,split,classifier
0.9298245614035088,0.9298245614035088,0.9298245614035088,0.9298245614035088,breast_cancer,holdout,80-20,NaiveBayes
0.9649122807017544,0.9651849217638692,0.9649122807017544,0.9647247085304307,breast_cancer,holdout,80-20,KNN
0.9122807017543859,0.9160721496836722,0.9122807017543859,0.9130211893369787,breast_cancer,holdout,80-20,DecisionTree
0.9421052631578948,0.9420824239963458,0.9421052631578948,0.9418408404964171,breast_cancer,holdout,66.6-33.3,NaiveBayes
0.9736842105263158,0.9739697000456784,0.9736842105263158,0.9735640184074623,breast_cancer,holdout,66.6-33.3,KNN
0.9052631578947369,0.90706941266209,0.9052631578947369,0.9057512062558927,breast_cancer,holdout,66.6-33.3,DecisionTree
0.931547619047619,0.9357331411036507,0.931547619047619,0.9311104318417451,breast_cancer,cv,10-fold,NaiveBayes
0.9701441102756894,0.9715570975422084,0.9701441102756894,0.9698237889866423,breast_cancer,cv,10-fold,KNN
0.9261904761904762,0.9299939734342015,0.9261904761904762,0.9259943439701953,breast_cancer,cv,10-fold,DecisionTree
0.9297314081664337,0.932383139897451,0.9297314081664337,0.92945725811489,breast_cancer,cv,5-fold,NaiveBayes
0.9666045645086166,0.9680918749571399,0.9666045645086166,0.9662807737210379,breast_cancer,cv,5-fold,KNN
0.9104021114733737,0.91106532949491,0.9104021114733737,0.9096714952845628,breast_cancer,cv,5-fold,DecisionTree
0.9722222222222222,0.9743589743589745,0.9722222222222222,0.9722633744855966,wine,holdout,80-20,NaiveBayes
0.9722222222222222,0.9747474747474748,0.9722222222222222,0.9723691945914168,wine,holdout,80-20,KNN
0.9444444444444444,0.9513888888888888,0.9444444444444444,0.9449614374099499,wine,holdout,80-20,DecisionTree
0.9666666666666667,0.9692307692307692,0.9666666666666667,0.9664561403508771,wine,holdout,66.6-33.3,NaiveBayes
0.95,0.9578947368421052,0.95,0.9504761904761904,wine,holdout,66.6-33.3,KNN
0.9833333333333333,0.984,0.9833333333333333,0.983289726146869,wine,holdout,66.6-33.3,DecisionTree
0.9777777777777779,0.9803240740740741,0.9777777777777779,0.9777492877492877,wine,cv,10-fold,NaiveBayes
0.9722222222222221,0.9776455026455027,0.9722222222222221,0.9716690716690717,wine,cv,10-fold,KNN
0.8996732026143791,0.9057053376906319,0.8996732026143791,0.8988202284280715,wine,cv,10-fold,DecisionTree
0.9774603174603176,0.977965367965368,0.9774603174603176,0.9774718196457327,wine,cv,5-fold,NaiveBayes
0.9717460317460318,0.9742608502608503,0.9717460317460318,0.9716606116594825,wine,cv,5-fold,KNN
0.8931746031746032,0.8988454443160325,0.8931746031746032,0.8927323571074195,wine,cv,5-fold,DecisionTree
